SECRETARIAT,PARTICIPATING MEMBERS,OBSERVING MEMBERS
Sweden,Austria(ASI),Argentina(IRAM)
Sweden,Belgium(NBN),Armenia(SARM)
Sweden,Canada(SCC),Barbados(BNSI)
Sweden,Chile(INN),Bulgaria(BDS)
Sweden,China(SAC),Colombia(ICONTEC)
Sweden,Denmark(DS),Croatia(HZN)
Sweden,Finland(SFS),Czech Republic(UNMZ)
Sweden,France(AFNOR),Egypt(EOS)
Sweden,Germany(DIN),Estonia(EVS)
Sweden,Hungary(MSZT),"Iran, Islamic Republic of(ISIRI)"
Sweden,India(BIS),Israel(SII)
Sweden,Ireland(NSAI),Japan(JISC)
Sweden,Italy(UNI),"Moldova, Republic of(ISM)"
Sweden,Kazakhstan(KAZMEMST),Mongolia(MASM)
Sweden,"Korea, Republic of(KATS)",New Zealand(NZSO)
Sweden,Malaysia(DSM),Philippines(BPS)
Sweden,Netherlands(NEN),Romania(ASRO)
Sweden,Norway(SN),Serbia(ISS)
Sweden,Poland(PKN),Slovakia(UNMS SR)
Sweden,South Africa(SABS),Sri Lanka(SLSI)
Sweden,Spain(UNE),Thailand(TISI)
Sweden,Sweden(SIS),
Sweden,Switzerland(SNV),
Sweden,United Kingdom(BSI),
Sweden,United States(ANSI),
