SECRETARIAT,PARTICIPATING MEMBERS,OBSERVING MEMBERS
Italy,Austria,Belarus
Italy,Brazil,Belgium
Italy,Canada,Bulgaria
Italy,France,China
Italy,Germany,Czech Republic
Italy,Italy,Finland
Italy,Russian Federation,India
Italy,Sweden,"Iran, Islamic Republic of"
Italy,Switzerland,Japan
Italy,Turkey,"Korea, Republic of"
Italy,United Kingdom,Poland
Italy,United States,Romania
Italy,,Serbia
Italy,,Spain
Italy,,Ukraine
