SECRETARIAT,PARTICIPATING MEMBERS,OBSERVING MEMBERS
Portugal,Argentina(IRAM),Bulgaria(BDS)
Portugal,Egypt(EOS),China(SAC)
Portugal,France(AFNOR),Czech Republic(UNMZ)
Portugal,Italy(UNI),Greece(NQIS ELOT)
Portugal,Portugal(IPQ),Hungary(MSZT)
Portugal,Russian Federation(GOST R),"Iran, Islamic Republic of(ISIRI)"
Portugal,Spain(UNE),Japan(JISC)
Portugal,Tunisia(INNORPI),Montenegro(ISME)
Portugal,,Pakistan(PSQCA)
Portugal,,Romania(ASRO)
Portugal,,Serbia(ISS)
Portugal,,Turkey(TSE)
Portugal,,United Kingdom(BSI)
