SECRETARIAT,PARTICIPATING MEMBERS,OBSERVING MEMBERS
Sweden,Australia(SA),Austria(ASI)
Sweden,Belgium(NBN),Colombia(ICONTEC)
Sweden,Canada(SCC),Croatia(HZN)
Sweden,China(SAC),Cuba(NC)
Sweden,Denmark(DS),Czech Republic(UNMZ)
Sweden,Finland(SFS),Ethiopia(ESA)
Sweden,France(AFNOR),Greece(NQIS ELOT)
Sweden,Germany(DIN),Hong Kong Special Administrative Region of China(ITCHKSAR)
Sweden,Iceland(IST),Hungary(MSZT)
Sweden,"Iran, Islamic Republic of(ISIRI)",India(BIS)
Sweden,Israel(SII),Ireland(NSAI)
Sweden,Italy(UNI),Malaysia(DSM)
Sweden,Japan(JISC),Montenegro(ISME)
Sweden,"Korea, Republic of(KATS)",Poland(PKN)
Sweden,Netherlands(NEN),Portugal(IPQ)
Sweden,Norway(SN),Serbia(ISS)
Sweden,Romania(ASRO),Slovakia(UNMS SR)
Sweden,Russian Federation(GOST R),Spain(UNE)
Sweden,South Africa(SABS),Thailand(TISI)
Sweden,Sweden(SIS),Tunisia(INNORPI)
Sweden,Switzerland(SNV),Turkey(TSE)
Sweden,United Kingdom(BSI),Ukraine(DSTU)
Sweden,United States(ANSI),Uzbekistan(UZSTANDARD)
