SECRETARIAT,PARTICIPATING MEMBERS,OBSERVING MEMBERS
China,Algeria,Argentina
China,Belgium,Austria
China,Brazil,Belarus
China,China,Bulgaria
China,Czech Republic,Canada
China,Egypt,Croatia
China,Ethiopia,Cuba
China,Finland,Cyprus
China,France,Dominican Republic
China,Germany,Ecuador
China,India,Estonia
China,"Iran, Islamic Republic of",Greece
China,Iraq,Hong Kong Special Administrative Region of China
China,Israel,Hungary
China,Italy,Indonesia
China,Japan,Ireland
China,Kenya,Jordan
China,"Korea, Republic of","Korea, Democratic People's Republic of"
China,Luxembourg,Mauritius
China,Malaysia,Mongolia
China,Mexico,New Zealand
China,Netherlands,Pakistan
China,Nigeria,"Palestine, State of"
China,Russian Federation,Philippines
China,Saudi Arabia,Poland
China,Spain,Portugal
China,Sri Lanka,Qatar
China,Sweden,Romania
China,Switzerland,Serbia
China,Thailand,Singapore
China,Uganda,South Africa
China,United Kingdom,"Tanzania, United Republic of"
China,United States,Trinidad and Tobago
China,,Tunisia
China,,Turkey
China,,Ukraine
China,,Viet Nam
