SECRETARIAT,PARTICIPATING MEMBERS,OBSERVING MEMBERS
Brazil,Australia(SA),Argentina(IRAM)
Brazil,Austria(ASI),Colombia(ICONTEC)
Brazil,Brazil(ABNT),Czech Republic(UNMZ)
Brazil,Canada(SCC),Hungary(MSZT)
Brazil,China(SAC),Indonesia(BSN)
Brazil,Denmark(DS),"Iran, Islamic Republic of(ISIRI)"
Brazil,Finland(SFS),Japan(JISC)
Brazil,France(AFNOR),"Korea, Republic of(KATS)"
Brazil,Germany(DIN),Netherlands(NEN)
Brazil,India(BIS),Poland(PKN)
Brazil,Israel(SII),Spain(UNE)
Brazil,Italy(UNI),Sudan(SSMO)
Brazil,Malaysia(DSM),United States(ANSI)
Brazil,Norway(SN),
Brazil,Portugal(IPQ),
Brazil,Russian Federation(GOST R),
Brazil,Sweden(SIS),
Brazil,Thailand(TISI),
Brazil,United Kingdom(BSI),
