SECRETARIAT,PARTICIPATING MEMBERS,OBSERVING MEMBERS
Germany,Australia(SA),Argentina(IRAM)
Germany,Belgium(NBN),Austria(ASI)
Germany,China(SAC),Belarus(BELST)
Germany,Finland(SFS),Bhutan(BSB)
Germany,France(AFNOR),Bosnia and Herzegovina(ISBIH)
Germany,Germany(DIN),Bulgaria(BDS)
Germany,Indonesia(BSN),Chile(INN)
Germany,"Iran, Islamic Republic of(ISIRI)",Colombia(ICONTEC)
Germany,Ireland(NSAI),Côte d'Ivoire(CODINORM)
Germany,Italy(UNI),Croatia(HZN)
Germany,Japan(JISC),Czech Republic(UNMZ)
Germany,Kenya(KEBS),Denmark(DS)
Germany,"Korea, Republic of(KATS)",Ecuador(INEN)
Germany,Lao People's Democratic Republic(DOSM),Estonia(EVS)
Germany,Malaysia(DSM),Ethiopia(ESA)
Germany,New Zealand(NZSO),Greece(NQIS ELOT)
Germany,Nigeria(SON),Hong Kong Special Administrative Region of China(ITCHKSAR)
Germany,Norway(SN),Hungary(MSZT)
Germany,Romania(ASRO),India(BIS)
Germany,Russian Federation(GOST R),Latvia(LVS)
Germany,South Africa(SABS),Mongolia(MASM)
Germany,Spain(UNE),Montenegro(ISME)
Germany,Sweden(SIS),Netherlands(NEN)
Germany,Turkey(TSE),Philippines(BPS)
Germany,Ukraine(DSTU),Poland(PKN)
Germany,United Kingdom(BSI),Portugal(IPQ)
Germany,United States(ANSI),Saudi Arabia(SASO)
Germany,,Serbia(ISS)
Germany,,Singapore(SSC)
Germany,,Slovakia(UNMS SR)
Germany,,Switzerland(SNV)
Germany,,"Tanzania, United Republic of(TBS)"
Germany,,Thailand(TISI)
Germany,,Tunisia(INNORPI)
Germany,,Viet Nam(STAMEQ)
