SECRETARIAT,PARTICIPATING MEMBERS,OBSERVING MEMBERS
France,Austria(ASI),Belgium(NBN)
France,China(SAC),Brazil(ABNT)
France,France(AFNOR),Croatia(HZN)
France,Germany(DIN),Czech Republic(UNMZ)
France,India(BIS),Egypt(EOS)
France,Israel(SII),Finland(SFS)
France,Italy(UNI),Greece(NQIS ELOT)
France,Japan(JISC),Hong Kong Special Administrative Region of China(ITCHKSAR)
France,"Korea, Republic of(KATS)",Hungary(MSZT)
France,Poland(PKN),Indonesia(BSN)
France,Romania(ASRO),"Iran, Islamic Republic of(ISIRI)"
France,Russian Federation(GOST R),Kenya(KEBS)
France,Spain(UNE),"Korea, Democratic People's Republic of(CSK)"
France,Sweden(SIS),Luxembourg(ILNAS)
France,Switzerland(SNV),Netherlands(NEN)
France,United Kingdom(BSI),Norway(SN)
France,,Pakistan(PSQCA)
France,,Philippines(BPS)
France,,Portugal(IPQ)
France,,Serbia(ISS)
France,,Slovakia(UNMS SR)
France,,South Africa(SABS)
France,,Thailand(TISI)
France,,Tunisia(INNORPI)
France,,Turkey(TSE)
