SECRETARIAT,PARTICIPATING MEMBERS,OBSERVING MEMBERS
France,Algeria(IANOR),Argentina(IRAM)
France,Belarus(BELST),Austria(ASI)
France,Belgium(NBN),Bhutan(BSB)
France,Brazil(ABNT),Bosnia and Herzegovina(ISBIH)
France,Canada(SCC),Bulgaria(BDS)
France,China(SAC),Chile(INN)
France,Denmark(DS),Croatia(HZN)
France,Ethiopia(ESA),Cuba(NC)
France,Finland(SFS),Cyprus(CYS)
France,France(AFNOR),Czech Republic(UNMZ)
France,Germany(DIN),Egypt(EOS)
France,India(BIS),Estonia(EVS)
France,"Iran, Islamic Republic of(ISIRI)",Greece(NQIS ELOT)
France,Ireland(NSAI),Hong Kong Special Administrative Region of China(ITCHKSAR)
France,Israel(SII),Hungary(MSZT)
France,Italy(UNI),Iceland(IST)
France,"Korea, Republic of(KATS)",Indonesia(BSN)
France,Netherlands(NEN),Iraq(COSQC)
France,Portugal(IPQ),Japan(JISC)
France,Romania(ASRO),Kenya(KEBS)
France,Russian Federation(GOST R),"Korea, Democratic People's Republic of(CSK)"
France,Spain(UNE),Lithuania(LST)
France,Sweden(SIS),"Moldova, Republic of(ISM)"
France,United Kingdom(BSI),Mongolia(MASM)
France,United States(ANSI),Morocco(IMANOR)
France,,Norway(SN)
France,,Pakistan(PSQCA)
France,,Philippines(BPS)
France,,Poland(PKN)
France,,Serbia(ISS)
France,,Slovakia(UNMS SR)
France,,South Africa(SABS)
France,,Sri Lanka(SLSI)
France,,Switzerland(SNV)
France,,"Tanzania, United Republic of(TBS)"
France,,Thailand(TISI)
France,,Tunisia(INNORPI)
France,,Turkey(TSE)
France,,Ukraine(DSTU)
France,,Uzbekistan(UZSTANDARD)
