SECRETARIAT,PARTICIPATING MEMBERS,OBSERVING MEMBERS
China,China(SAC),Argentina(IRAM)
China,Colombia(ICONTEC),Austria(ASI)
China,Ecuador(INEN),Czech Republic(UNMZ)
China,Egypt(EOS),"Iran, Islamic Republic of(ISIRI)"
China,Ethiopia(ESA),Japan(JISC)
China,France(AFNOR),"Korea, Republic of(KATS)"
China,Germany(DIN),Nepal(NBSM)
China,Ghana(GSA),Poland(PKN)
China,India(BIS),Portugal(IPQ)
China,Indonesia(BSN),Russian Federation(GOST R)
China,Italy(UNI),Singapore(SSC)
China,Jamaica(BSJ),South Africa(SABS)
China,Kenya(KEBS),Spain(UNE)
China,Malaysia(DSM),Sweden(SIS)
China,Netherlands(NEN),Switzerland(SNV)
China,Nigeria(SON),Uganda(UNBS)
China,Philippines(BPS),United Kingdom(BSI)
China,,Viet Nam(STAMEQ)
