SECRETARIAT,PARTICIPATING MEMBERS,OBSERVING MEMBERS
Belgium,Australia(SA),Bangladesh(BSTI)
Belgium,Austria(ASI),Belarus(BELST)
Belgium,Belgium(NBN),Colombia(ICONTEC)
Belgium,Canada(SCC),Croatia(HZN)
Belgium,China(SAC),Czech Republic(UNMZ)
Belgium,France(AFNOR),Ethiopia(ESA)
Belgium,Germany(DIN),Finland(SFS)
Belgium,India(BIS),Ireland(NSAI)
Belgium,"Iran, Islamic Republic of(ISIRI)",Kazakhstan(KAZMEMST)
Belgium,Italy(UNI),"Korea, Republic of(KATS)"
Belgium,Japan(JISC),Mauritius(MSB)
Belgium,Kenya(KEBS),Romania(ASRO)
Belgium,Netherlands(NEN),Slovakia(UNMS SR)
Belgium,New Zealand(NZSO),"Tanzania, United Republic of(TBS)"
Belgium,Norway(SN),Tunisia(INNORPI)
Belgium,Pakistan(PSQCA),Turkey(TSE)
Belgium,Poland(PKN),Ukraine(DSTU)
Belgium,Portugal(IPQ),
Belgium,Russian Federation(GOST R),
Belgium,Saudi Arabia(SASO),
Belgium,Serbia(ISS),
Belgium,South Africa(SABS),
Belgium,Spain(UNE),
Belgium,Sweden(SIS),
Belgium,Switzerland(SNV),
Belgium,United Kingdom(BSI),
Belgium,United States(ANSI),
